MAC,RSSI,Monotonic,UTC (ESP),UTC Now (SYS),UTC Now (NTP),Time sync,UTC NTP - UTC ESP
f3:eb:cf:34:5d:74,-64,198502,2026-04-02 20:44:00.660000,2026-04-02 20:44:09.178426,2026-04-02 20:44:09.450319,True,8790.319
06:18:45:30:4c:79,-79,198538,2026-04-02 20:44:00.696000,2026-04-02 20:44:09.183401,2026-04-02 20:44:09.456534,True,8760.534
ae:17:0c:e9:fa:ee,-50,198538,2026-04-02 20:44:00.696000,2026-04-02 20:44:09.184412,2026-04-02 20:44:09.456534,True,8760.534
89:a1:41:12:24:62,-87,198590,2026-04-02 20:44:00.748000,2026-04-02 20:44:09.184412,2026-04-02 20:44:09.457545,True,8709.545
4b:0c:7b:38:49:e3,-62,198590,2026-04-02 20:44:00.748000,2026-04-02 20:44:09.185418,2026-04-02 20:44:09.458551,True,8710.551
57:14:14:81:01:ce,-72,198652,2026-04-02 20:44:00.810000,2026-04-02 20:44:09.186426,2026-04-02 20:44:09.458551,True,8648.551
10:42:b5:38:c1:a4,-89,198733,2026-04-02 20:44:00.891000,2026-04-02 20:44:09.186426,2026-04-02 20:44:09.459559,True,8568.559
80:2b:17:12:45:6f,-62,198733,2026-04-02 20:44:00.891000,2026-04-02 20:44:09.187616,2026-04-02 20:44:09.459559,True,8568.559
10:42:b5:38:c1:a4,-88,198752,2026-04-02 20:44:00.910000,2026-04-02 20:44:09.187616,2026-04-02 20:44:09.460750,True,8550.749
7e:97:1b:0d:4b:7d,-65,198852,2026-04-02 20:44:01.010000,2026-04-02 20:44:09.188697,2026-04-02 20:44:09.461831,True,8451.83
0f:6c:8a:86:6f:33,-83,198902,2026-04-02 20:44:01.060000,2026-04-02 20:44:09.189760,2026-04-02 20:44:09.461831,True,8401.83
06:18:45:30:4c:79,-74,199098,2026-04-02 20:44:01.256000,2026-04-02 20:44:09.189760,2026-04-02 20:44:09.462893,True,8206.893
7e:97:1b:0d:4b:7d,-64,199099,2026-04-02 20:44:01.257000,2026-04-02 20:44:09.190767,2026-04-02 20:44:09.463901,True,8206.9
10:42:b5:38:c1:a4,-88,199197,2026-04-02 20:44:01.355000,2026-04-02 20:44:09.191774,2026-04-02 20:44:09.463901,True,8108.9
49:1f:eb:cd:ba:d4,-79,199197,2026-04-02 20:44:01.355000,2026-04-02 20:44:09.191774,2026-04-02 20:44:09.464907,True,8109.907
06:18:45:30:4c:79,-77,199280,2026-04-02 20:44:01.438000,2026-04-02 20:44:09.192782,2026-04-02 20:44:09.465915,True,8027.915
80:2b:17:12:45:6f,-51,199280,2026-04-02 20:44:01.438000,2026-04-02 20:44:09.193868,2026-04-02 20:44:09.465915,True,8027.915
1d:a8:40:2d:17:f8,-84,199352,2026-04-02 20:44:01.510000,2026-04-02 20:44:09.193868,2026-04-02 20:44:09.467001,True,7957.001
7e:97:1b:0d:4b:7d,-64,199388,2026-04-02 20:44:01.546000,2026-04-02 20:44:09.194877,2026-04-02 20:44:09.468010,True,7922.01
b2:df:f9:76:1f:e1,-72,199388,2026-04-02 20:44:01.546000,2026-04-02 20:44:09.195886,2026-04-02 20:44:09.468010,True,7922.01
7e:97:1b:0d:4b:7d,-62,199652,2026-04-02 20:44:01.810000,2026-04-02 20:44:09.195886,2026-04-02 20:44:09.469019,True,7659.019
49:1f:eb:cd:ba:d4,-62,199702,2026-04-02 20:44:01.860000,2026-04-02 20:44:09.196896,2026-04-02 20:44:09.469019,True,7609.019
06:18:45:30:4c:79,-72,199837,2026-04-02 20:44:01.995000,2026-04-02 20:44:09.197905,2026-04-02 20:44:09.470029,True,7475.029
80:2b:17:12:45:6f,-54,199837,2026-04-02 20:44:01.995000,2026-04-02 20:44:09.197905,2026-04-02 20:44:09.471038,True,7476.038
10:42:b5:38:c1:a4,-85,199944,2026-04-02 20:44:02.102000,2026-04-02 20:44:09.198990,2026-04-02 20:44:09.471038,True,7369.038
1d:a8:40:2d:17:f8,-83,199944,2026-04-02 20:44:02.102000,2026-04-02 20:44:09.198990,2026-04-02 20:44:09.472124,True,7370.123
10:42:b5:38:c1:a4,-86,200086,2026-04-02 20:44:02.244000,2026-04-02 20:44:09.199999,2026-04-02 20:44:09.472124,True,7228.123
0f:6c:8a:86:6f:33,-86,200086,2026-04-02 20:44:02.244000,2026-04-02 20:44:09.201007,2026-04-02 20:44:09.473133,True,7229.132
da:ea:3f:3d:1d:cc,-82,200102,2026-04-02 20:44:02.260000,2026-04-02 20:44:09.201007,2026-04-02 20:44:09.474140,True,7214.14
7e:97:1b:0d:4b:7d,-66,200202,2026-04-02 20:44:02.360000,2026-04-02 20:44:09.202015,2026-04-02 20:44:09.474140,True,7114.14
89:a1:41:12:24:62,-86,200231,2026-04-02 20:44:02.389000,2026-04-02 20:44:09.202015,2026-04-02 20:44:09.475148,True,7086.148
10:42:b5:38:c1:a4,-85,200231,2026-04-02 20:44:02.389000,2026-04-02 20:44:09.203038,2026-04-02 20:44:09.476171,True,7087.171
80:2b:17:12:45:6f,-60,200395,2026-04-02 20:44:02.553000,2026-04-02 20:44:09.204114,2026-04-02 20:44:09.476171,True,6923.171
06:18:45:30:4c:79,-75,200395,2026-04-02 20:44:02.553000,2026-04-02 20:44:09.204114,2026-04-02 20:44:09.477247,True,6924.247
10:42:b5:38:c1:a4,-81,200550,2026-04-02 20:44:02.708000,2026-04-02 20:44:09.205171,2026-04-02 20:44:09.478304,True,6770.304
ae:17:0c:e9:fa:ee,-61,200550,2026-04-02 20:44:02.708000,2026-04-02 20:44:09.206185,2026-04-02 20:44:09.478304,True,6770.304
06:18:45:30:4c:79,-73,200598,2026-04-02 20:44:02.756000,2026-04-02 20:44:09.206185,2026-04-02 20:44:09.479319,True,6723.318
4b:0c:7b:38:49:e3,-64,200598,2026-04-02 20:44:02.756000,2026-04-02 20:44:09.207197,2026-04-02 20:44:09.479319,True,6723.318
49:1f:eb:cd:ba:d4,-64,200652,2026-04-02 20:44:02.810000,2026-04-02 20:44:09.208248,2026-04-02 20:44:09.480330,True,6670.33
10:42:b5:38:c1:a4,-88,200686,2026-04-02 20:44:02.844000,2026-04-02 20:44:09.208248,2026-04-02 20:44:09.481381,True,6637.381
06:18:45:30:4c:79,-74,200687,2026-04-02 20:44:02.845000,2026-04-02 20:44:09.209326,2026-04-02 20:44:09.481381,True,6636.381
7e:97:1b:0d:4b:7d,-63,200752,2026-04-02 20:44:02.910000,2026-04-02 20:44:09.210333,2026-04-02 20:44:09.482460,True,6572.459
06:18:45:30:4c:79,-73,200802,2026-04-02 20:44:02.960000,2026-04-02 20:44:09.210333,2026-04-02 20:44:09.483467,True,6523.466
06:18:45:30:4c:79,-76,200852,2026-04-02 20:44:03.010000,2026-04-02 20:44:09.211340,2026-04-02 20:44:09.483467,True,6473.466
06:18:45:30:4c:79,-71,200902,2026-04-02 20:44:03.060000,2026-04-02 20:44:09.211340,2026-04-02 20:44:09.484473,True,6424.473
80:2b:17:12:45:6f,-52,200945,2026-04-02 20:44:03.103000,2026-04-02 20:44:09.212685,2026-04-02 20:44:09.485818,True,6382.818
06:18:45:30:4c:79,-72,200945,2026-04-02 20:44:03.103000,2026-04-02 20:44:09.213693,2026-04-02 20:44:09.485818,True,6382.818
1d:a8:40:2d:17:f8,-82,200979,2026-04-02 20:44:03.137000,2026-04-02 20:44:09.213693,2026-04-02 20:44:09.486826,True,6349.826
06:18:45:30:4c:79,-74,200979,2026-04-02 20:44:03.137000,2026-04-02 20:44:09.214770,2026-04-02 20:44:09.486826,True,6349.826
06:18:45:30:4c:79,-71,201052,2026-04-02 20:44:03.210000,2026-04-02 20:44:09.215777,2026-04-02 20:44:09.487904,True,6277.903
06:18:45:30:4c:79,-74,201102,2026-04-02 20:44:03.260000,2026-04-02 20:44:09.215777,2026-04-02 20:44:09.488910,True,6228.91
06:18:45:30:4c:79,-76,201152,2026-04-02 20:44:03.310000,2026-04-02 20:44:09.216786,2026-04-02 20:44:09.489919,True,6179.919
06:18:45:30:4c:79,-73,201202,2026-04-02 20:44:03.360000,2026-04-02 20:44:09.217792,2026-04-02 20:44:09.489919,True,6129.919
06:18:45:30:4c:79,-76,201252,2026-04-02 20:44:03.410000,2026-04-02 20:44:09.217792,2026-04-02 20:44:09.490925,True,6080.925
06:18:45:30:4c:79,-75,201292,2026-04-02 20:44:03.450000,2026-04-02 20:44:09.218813,2026-04-02 20:44:09.491946,True,6041.946
7e:97:1b:0d:4b:7d,-62,201292,2026-04-02 20:44:03.450000,2026-04-02 20:44:09.219899,2026-04-02 20:44:09.491946,True,6041.946
