MAC,RSSI,Monotonic,UTC (ESP),UTC Now (SYS),UTC Now (NTP),Time sync,UTC NTP - UTC ESP
0b:63:1b:da:3e:3b,-73,35587,2026-04-07 23:16:05.403000,2026-04-07 23:16:22.833499,2026-04-07 23:16:22.653937,True,17250.936
f5:05:dc:56:a4:77,-70,35637,2026-04-07 23:16:05.453000,2026-04-07 23:16:22.834504,2026-04-07 23:16:22.654959,True,17201.958
0b:63:1b:da:3e:3b,-82,35675,2026-04-07 23:16:05.491000,2026-04-07 23:16:22.834504,2026-04-07 23:16:22.655964,True,17164.963
1d:a8:40:2d:17:f8,-82,35675,2026-04-07 23:16:05.491000,2026-04-07 23:16:22.835511,2026-04-07 23:16:22.656971,True,17165.97
0b:63:1b:da:3e:3b,-75,35787,2026-04-07 23:16:05.603000,2026-04-07 23:16:22.836518,2026-04-07 23:16:22.656971,True,17053.97
0b:63:1b:da:3e:3b,-80,35987,2026-04-07 23:16:05.803000,2026-04-07 23:16:22.837527,2026-04-07 23:16:22.657978,True,16854.977
0b:63:1b:da:3e:3b,-75,36087,2026-04-07 23:16:05.903000,2026-04-07 23:16:22.837527,2026-04-07 23:16:22.658987,True,16755.986
49:1f:eb:cd:ba:d4,-76,36137,2026-04-07 23:16:05.953000,2026-04-07 23:16:22.838534,2026-04-07 23:16:22.659994,True,16706.994
1d:37:3c:38:64:c2,-71,36387,2026-04-07 23:16:06.203000,2026-04-07 23:16:22.839543,2026-04-07 23:16:22.661003,True,16458.002
0b:63:1b:da:3e:3b,-72,36637,2026-04-07 23:16:06.453000,2026-04-07 23:16:22.840601,2026-04-07 23:16:22.661003,True,16208.002
f5:05:dc:56:a4:77,-80,36737,2026-04-07 23:16:06.553000,2026-04-07 23:16:22.840601,2026-04-07 23:16:22.662061,True,16109.06
0b:63:1b:da:3e:3b,-75,36837,2026-04-07 23:16:06.653000,2026-04-07 23:16:22.841623,2026-04-07 23:16:22.663083,True,16010.082
57:14:14:81:01:ce,-66,36930,2026-04-07 23:16:06.746000,2026-04-07 23:16:22.842636,2026-04-07 23:16:22.663083,True,15917.082
0b:63:1b:da:3e:3b,-72,36930,2026-04-07 23:16:06.746000,2026-04-07 23:16:22.842636,2026-04-07 23:16:22.664096,True,15918.096
f5:05:dc:56:a4:77,-79,37036,2026-04-07 23:16:06.852000,2026-04-07 23:16:22.843642,2026-04-07 23:16:22.665102,True,15813.101
0b:63:1b:da:3e:3b,-82,37036,2026-04-07 23:16:06.852000,2026-04-07 23:16:22.844649,2026-04-07 23:16:22.665102,True,15813.101
49:1f:eb:cd:ba:d4,-64,37087,2026-04-07 23:16:06.903000,2026-04-07 23:16:22.844649,2026-04-07 23:16:22.666109,True,15763.108
f5:05:dc:56:a4:77,-70,37287,2026-04-07 23:16:07.103000,2026-04-07 23:16:22.845658,2026-04-07 23:16:22.667118,True,15564.117
